item_name,current,previous,change,change_percent,weight,lowest,category
Apples,330.624,378.835,-48.210999999999956,-0.14581821041424686,0.075,1,Food
Laundry equipment,104.844,118.606,-13.762,-0.13126168402579072,NA,NA,Goods
"Telephone hardware, calculators, and other consumer information items",8.158,9.115,-0.9570000000000007,-0.11730816376562893,0.297,1,Goods
Car and truck rental,162.445,180.759,-18.313999999999993,-0.11273969651266579,0.141,1,Services
Other video equipment,8.406,9.246,-0.8399999999999999,-0.09992862241256244,0.024,1,Goods
Eggs,292.19,321.166,-28.976,-0.09916834936171669,0.143,1,Food
"Men's suits, sport coats, and outerwear",96.526,105.367,-8.841000000000008,-0.09159190269979081,0.076,1,Goods
Other furniture,76.43,83.391,-6.9609999999999985,-0.09107680230276066,0.171,1,Goods
Televisions,1.079,1.175,-0.09600000000000009,-0.08897126969416135,0.122,1,Goods
Toys,27.679,29.898,-2.219000000000001,-0.08016908125293548,0.286,1,Goods
"Toys, games, hobbies and playground equipment",37.157,39.882,-2.7250000000000014,-0.0733374599671664,NA,NA,Goods
Nonelectric cookware and tableware,77.28,82.946,-5.665999999999997,-0.07331780538302274,0.072,1,Goods
Other linens,41.178,44.177,-2.9990000000000023,-0.07283015202292492,0.172,1,Goods
Information technology commodities,38.9,41.655,-2.7550000000000026,-0.07082262210796922,0.651,NA,Goods
Other recreational goods,32.767,34.979,-2.211999999999996,-0.06750694296090566,0.37,NA,Goods
Used cars and trucks,180.522,192.647,-12.125,-0.06716632875771375,3.726,1,Goods
Audio equipment,24.836,26.5,-1.6640000000000015,-0.06699951683040754,0.073,1,Goods
Outdoor equipment and supplies,105.079,111.948,-6.869,-0.06536986457807935,0.466,1,Goods
Education and communication commodities,56.4,60.009,-3.6090000000000018,-0.0639893617021277,0.737,NA,Goods
Major appliances,89.597,95.15,-5.5530000000000115,-0.06197752156880266,0.077,1,Goods
Airline fares,268.075,284.598,-16.523000000000025,-0.06163573626783559,0.633,1,Services
Appliances,83.865,88.83,-4.965000000000003,-0.05920228939366844,0.241,NA,Goods
Women's outerwear,100.175,105.939,-5.763999999999996,-0.057539306214125244,0.06,1,Goods
Other appliances,73.461,77.635,-4.174000000000007,-0.0568192646438247,0.161,1,Goods
Video and audio products,32.377,34.126,-1.7489999999999952,-0.054019828890879175,0.276,NA,Goods
Public transportation,268.583,281.548,-12.964999999999975,-0.04827185637214557,0.918,NA,Services
"Tools, hardware, outdoor equipment and supplies",110.476,115.183,-4.707000000000008,-0.04260653897679141,0.947,NA,Goods
Furniture and bedding,132.445,137.709,-5.26400000000001,-0.03974479972818914,0.959,NA,Goods
"Ham, excluding canned",274.044,284.769,-10.725000000000023,-0.03913605114507168,NA,NA,Food
