item_name,current,previous,change_percent,category
Apples,332.872,383.49,-0.13199301155180054,Food
"Telephone hardware, calculators, and other consumer information items",7.965,9.097,-0.12443662745960204,Goods
Women's outerwear,96.703,107.63,-0.10152373873455345,Goods
Laundry equipment,105.962,116.224,-0.08829501651982374,Goods
Car and truck rental,160.537,176.079,-0.08826719824624174,Services
Used cars and trucks,181.614,198.793,-0.08641652372065411,Goods
Other video equipment,8.293,9.047,-0.08334254448988632,Goods
"Toys, games, hobbies and playground equipment",36.917,40.242,-0.0826251180358828,Goods
Information technology commodities,38.169,41.535,-0.08104008667388951,Goods
Toys,27.59,29.911,-0.07759687071645882,Goods
Education and communication commodities,55.483,59.888,-0.0735539674058242,Goods
Other furniture,77.028,82.972,-0.07163862507833951,Goods
Nonelectric cookware and tableware,76.932,82.796,-0.07082467752065325,Goods
Other linens,41.185,44.129,-0.06671349905957524,Goods
Televisions,1.08,1.157,-0.06655142610198783,Goods
Audio equipment,24.902,26.651,-0.0656260553074931,Goods
Other recreational goods,32.743,35.004,-0.06459261798651572,Goods
"Ham, excluding canned",270.922,289.114,-0.06292327593959457,Food
Major appliances,88.69,94.539,-0.061868646801849,Goods
Airline fares,258.519,274.65,-0.0587329328235936,Services
"Men's suits, sport coats, and outerwear",99.441,105.112,-0.05395197503615179,Goods
Ham,244.621,258.527,-0.05378935275619168,Food
Margarine,455.157,480.267,-0.05228341734909958,Food
Outdoor equipment and supplies,106.076,111.606,-0.04954930738490759,Goods
Appliances,84.33,88.63,-0.04851630373462712,Goods
Public transportation,260.125,273.025,-0.047248420474315433,Services
Video and audio products,32.382,33.903,-0.04486328643482884,Goods
Other intercity transportation,156.073,163.247,-0.04394567740907951,Services
Other appliances,74.481,77.813,-0.04282060838163304,Goods
Durables,122.702,127.576,-0.03820467799586125,Meta
Furniture and bedding,131.599,136.692,-0.037258947121997066,Goods
Transportation commodities less motor fuel,130.202,135.101,-0.03626175972050538,Goods
Cheese and related products,260.84,270.145,-0.03444446500953191,Food
"Tools, hardware, outdoor equipment and supplies",110.882,114.653,-0.0328905480013606,Goods
Potatoes,420.963,435.091,-0.03247136805863593,Food
New and used motor vehicles,125.029,129.195,-0.03224582994697933,Meta
Window and floor coverings and other linens,60.238,62.113,-0.03018691739249435,Goods
Fresh fish and seafood,218.895,224.813,-0.02632410047461653,Food
Household furnishings and supplies,105.64,108.389,-0.025362352268219035,Goods
Roasted coffee,242.763,249.052,-0.025251754653646596,Food
Other motor fuels,290.176,297.692,-0.025247571315319295,Energy
Citrus fruits,282.776,290.016,-0.024964139909522287,Food
