series_id,year,period,value,footnote_codes.x,date,area_code,item_code,seasonal,periodicity_code,base_code,base_period,footnote_codes.y,begin_year,begin_period,end_year,end_period,item_name
MUSR0000SA0L1,1947,M01,21,NA,1947-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1947,M02,21.1,NA,1947-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1947,M03,21.3,NA,1947-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1947,M04,21.4,NA,1947-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1947,M05,21.5,NA,1947-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1947,M06,21.6,NA,1947-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1947,M07,21.7,NA,1947-07-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1947,M08,21.8,NA,1947-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1947,M09,22,NA,1947-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1947,M10,22.1,NA,1947-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1947,M11,22.3,NA,1947-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1947,M12,22.4,NA,1947-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M01,22.6,NA,1948-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M02,22.8,NA,1948-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M03,22.8,NA,1948-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M04,23,NA,1948-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M05,23.1,NA,1948-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M06,23.2,NA,1948-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M07,23.5,NA,1948-07-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M08,23.6,NA,1948-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M09,23.6,NA,1948-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M10,23.7,NA,1948-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M11,23.7,NA,1948-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1948,M12,23.7,NA,1948-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M01,23.6,NA,1949-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M02,23.6,NA,1949-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M03,23.6,NA,1949-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M04,23.6,NA,1949-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M05,23.5,NA,1949-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M06,23.6,NA,1949-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M07,23.5,NA,1949-07-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M08,23.4,NA,1949-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M09,23.4,NA,1949-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M10,23.5,NA,1949-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M11,23.4,NA,1949-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1949,M12,23.5,NA,1949-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M01,23.5,NA,1950-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M02,23.5,NA,1950-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M03,23.5,NA,1950-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M04,23.5,NA,1950-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M05,23.6,NA,1950-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M06,23.6,NA,1950-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M07,23.7,NA,1950-07-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M08,23.8,NA,1950-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M09,24,NA,1950-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M10,24.1,NA,1950-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M11,24.3,NA,1950-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1950,M12,24.4,NA,1950-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M01,24.7,NA,1951-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M02,24.9,NA,1951-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M03,25.1,NA,1951-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M04,25.2,NA,1951-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M05,25.3,NA,1951-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M06,25.3,NA,1951-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M07,25.3,NA,1951-07-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M08,25.4,NA,1951-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M09,25.5,NA,1951-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M10,25.5,NA,1951-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M11,25.6,NA,1951-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1951,M12,25.7,NA,1951-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1952,M01,25.6,NA,1952-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
