subcategory,display_level
Commodities less food and energy commodities,0
Household furnishings and supplies,1
Window and floor coverings and other linens,2
Floor coverings,3
Window coverings,3
Other linens,3
Furniture and bedding,2
Bedroom furniture,3
"Living room, kitchen, and dining room furniture",3
Other furniture,3
Appliances,2
Major appliances,3
Laundry equipment,3
Other appliances,3
Other household equipment and furnishings,2
"Clocks, lamps, and decorator items",3
Indoor plants and flowers,3
Dishes and flatware,3
Nonelectric cookware and tableware,3
"Tools, hardware, outdoor equipment and supplies",2
"Tools, hardware and supplies",3
Outdoor equipment and supplies,3
Housekeeping supplies,2
Household cleaning products,3
Household paper products,3
Miscellaneous household products,3
Apparel,1
Men's and boys' apparel,2
Men's apparel,3
"Men's suits, sport coats, and outerwear",4
"Men's underwear, nightwear, swimwear, and accessories",4
Men's shirts and sweaters,4
Men's pants and shorts,4
Boys' apparel,3
Women's and girls' apparel,2
Women's apparel,3
Women's outerwear,4
Women's dresses,4
Women's suits and separates,4
"Women's underwear, nightwear, swimwear, and accessories",4
Girls' apparel,3
Footwear,2
Men's footwear,3
Boys' and girls' footwear,3
Women's footwear,3
Infants' and toddlers' apparel,2
Jewelry and watches,2
Watches,3
Jewelry,3
Transportation commodities less motor fuel,1
New vehicles,2
New cars,3
New trucks,3
Used cars and trucks,2
Motor vehicle parts and equipment,2
Tires,3
Vehicle accessories other than tires,3
Vehicle parts and equipment other than tires,3
"Motor oil, coolant, and fluids",3
Medical care commodities,1
Medicinal drugs,2
Prescription drugs,3
Nonprescription drugs,3
Medical equipment and supplies,2
Recreation commodities,1
Video and audio products,2
Televisions,3
Other video equipment,3
Audio equipment,3
Recorded music and music subscriptions,3
Pets and pet products,2
Pet food and treats,3
"Purchase of pets, pet supplies, accessories",3
Sporting goods,2
Sports vehicles including bicycles,3
Sports equipment,3
Photographic equipment and supplies,2
Photographic equipment,3
Recreational reading materials,2
Newspapers and magazines,3
Recreational books,3
Other recreational goods,2
Toys,3
"Toys, games, hobbies and playground equipment",3
"Sewing machines, fabric and supplies",3
Music instruments and accessories,3
Education and communication commodities,1
Educational books and supplies,2
College textbooks,3
Information technology commodities,2
"Computers, peripherals, and smart home assistants",3
Computer software and accessories,3
"Telephone hardware, calculators, and other consumer information items",3
Smartphones,3
Alcoholic beverages,1
Alcoholic beverages at home,2
"Beer, ale, and other malt beverages at home",3
Distilled spirits at home,3
Whiskey at home,4
"Distilled spirits, excluding whiskey, at home",4
Wine at home,3
Alcoholic beverages away from home,2
"Beer, ale, and other malt beverages away from home",3
Wine away from home,3
Distilled spirits away from home,3
Other goods,1
Tobacco and smoking products,2
Cigarettes,3
Tobacco products other than cigarettes,3
Personal care products,2
"Hair, dental, shaving, and miscellaneous personal care products",3
"Cosmetics, perfume, bath, nail preparations and implements",3
Miscellaneous personal goods,2
"Stationery, stationery supplies, gift wrap",3
