TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef,date,PCEweight,Quantity,DataValue_P1,WDataValue_P1,WDataValue_P1a,Quantity_P1
U20404,DHSGRG,153,Housing,2011M01,Fisher Price Index,Level,0,83.78,U20404,2011-01-01,0.15860171180918556,98.378,NA,NA,NA,NA
U20404,DHSGRG,153,Housing,2011M02,Fisher Price Index,Level,0,83.906,U20404,2011-02-01,0.1584915863503156,98.408,0.001503938887562721,2.385272820238498e-4,0.002866085458966161,3.0494622781517347e-4
U20404,DHSGRG,153,Housing,2011M03,Fisher Price Index,Level,0,83.997,U20404,2011-03-01,0.1575235653598744,98.434,0.0010845469930635945,1.7189157340211382e-4,0.002064650081659236,2.642061621006041e-4
U20404,DHSGRG,153,Housing,2011M04,Fisher Price Index,Level,0,84.081,U20404,2011-04-01,0.15723735108660927,98.457,0.001000035715561308,1.5752919140243047e-4,0.001891988976594261,2.336591015299199e-4
U20404,DHSGRG,153,Housing,2011M05,Fisher Price Index,Level,0,84.187,U20404,2011-05-01,0.15717604216338169,98.479,0.001260689097417901,1.9822741422175906e-4,0.002381324096154991,2.2344779954706697e-4
U20404,DHSGRG,153,Housing,2011M06,Fisher Price Index,Level,0,84.321,U20404,2011-06-01,0.15713140295144123,98.503,0.0015916946797011457,2.501762700879376e-4,0.0030062495067351147,2.4370678012572132e-4
U20404,DHSGRG,153,Housing,2011M07,Fisher Price Index,Level,0,84.503,U20404,2011-07-01,0.15692876220656693,98.502,0.0021584184248289533,3.3915531524961336e-4,0.004077464109781381,-1.015197506679771e-5
U20404,DHSGRG,153,Housing,2011M08,Fisher Price Index,Level,0,84.696,U20404,2011-08-01,0.15701094557944373,98.5,0.002283942581920143,3.584162823315986e-4,0.004309484032877675,-2.0304156260739263e-5
U20404,DHSGRG,153,Housing,2011M09,Fisher Price Index,Level,0,84.819,U20404,2011-09-01,0.1567542774220131,98.497,0.0014522527628223843,2.2801957951110218e-4,0.0027396690969503368,-3.0456852791879327e-5
U20404,DHSGRG,153,Housing,2011M10,Fisher Price Index,Level,0,85,U20404,2011-10-01,0.15679243342586113,98.491,0.002133955835367045,3.3450670502344944e-4,0.004021473753538896,-6.091556088002911e-5
U20404,DHSGRG,153,Housing,2011M11,Fisher Price Index,Level,0,85.137,U20404,2011-11-01,0.15698112341567758,98.487,0.0016117647058823583,2.527125103452123e-4,0.003036768675223289,-4.061284787447471e-5
U20404,DHSGRG,153,Housing,2011M12,Fisher Price Index,Level,0,85.304,U20404,2011-12-01,0.1571226405545132,98.483,0.001961544334425709,3.079254332478053e-4,0.0037013696195251633,-4.0614497344732585e-5
U20404,DHSGRG,153,Housing,2012M01,Fisher Price Index,Level,0,85.462,U20404,2012-01-01,0.15626074858811503,98.475,0.001852199193472771,2.910224281113814e-4,0.0034978643709622226,-8.12322938985386e-5
U20404,DHSGRG,153,Housing,2012M02,Fisher Price Index,Level,0,85.593,U20404,2012-02-01,0.1552127490712843,98.475,0.0015328450071376777,2.3952350828488806e-4,0.0028780716439769094,0
U20404,DHSGRG,153,Housing,2012M03,Fisher Price Index,Level,0,85.771,U20404,2012-03-01,0.15545109164093424,98.482,0.0020796093138457264,3.2278187859624243e-4,0.003880266364456597,7.108403148012188e-5
U20404,DHSGRG,153,Housing,2012M04,Fisher Price Index,Level,0,85.965,U20404,2012-04-01,0.15548487467212074,98.502,0.0022618367513495543,3.5160499211087256e-4,0.004227428796410804,2.0308279685623791e-4
U20404,DHSGRG,153,Housing,2012M05,Fisher Price Index,Level,0,86.085,U20404,2012-05-01,0.15590286219532007,98.524,0.0013959169429417825,2.1704397092599297e-4,0.002607639035236531,2.2334571886870898e-4
U20404,DHSGRG,153,Housing,2012M06,Fisher Price Index,Level,0,86.184,U20404,2012-06-01,0.1563720275927835,98.555,0.0011500261369577019,1.7929236635113286e-4,0.0021536312843655203,3.1464414761891426e-4
U20404,DHSGRG,153,Housing,2012M07,Fisher Price Index,Level,0,86.332,U20404,2012-07-01,0.1563331283744912,98.603,0.0017172561032209707,2.685308187567455e-4,0.0032271332684516985,4.8703769468811937e-4
U20404,DHSGRG,153,Housing,2012M08,Fisher Price Index,Level,0,86.506,U20404,2012-08-01,0.15618371253576788,98.66,0.0020154751424733192,3.1508553418387736e-4,0.003787585703976637,5.780757177773716e-4
U20404,DHSGRG,153,Housing,2012M09,Fisher Price Index,Level,0,86.7,U20404,2012-09-01,0.15593612180393132,98.722,0.002242619009086105,3.502605626423528e-4,0.004211233255220659,6.284208392458708e-4
U20404,DHSGRG,153,Housing,2012M10,Fisher Price Index,Level,0,86.893,U20404,2012-10-01,0.15594894583820842,98.796,0.0022260668973471493,3.471242388484246e-4,0.0041734527609267325,7.495796276413796e-4
U20404,DHSGRG,153,Housing,2012M11,Fisher Price Index,Level,0,87.037,U20404,2012-11-01,0.1557576093178713,98.874,0.0016572105923377655,2.584402449069875e-4,0.003105694968412953,7.895056480018294e-4
U20404,DHSGRG,153,Housing,2012M12,Fisher Price Index,Level,0,87.179,U20404,2012-12-01,0.1561066349659716,98.959,0.001631490055953168,2.5411699074114557e-4,0.0030536694804645936,8.596799967636382e-4
U20404,DHSGRG,153,Housing,2013M01,Fisher Price Index,Level,0,87.333,U20404,2013-01-01,0.15564377792632914,99.118,0.0017664804597437038,2.7575932030373204e-4,0.0033141353112060568,0.0016067260178456917
U20404,DHSGRG,153,Housing,2013M02,Fisher Price Index,Level,0,87.515,U20404,2013-02-01,0.15565638961686099,99.256,0.002083977419761169,3.243581187247918e-4,0.003899248678195244,0.0013922799087956299
U20404,DHSGRG,153,Housing,2013M03,Fisher Price Index,Level,0,87.672,U20404,2013-03-01,0.15612534179217388,99.373,0.0017939781751699305,2.79244165798396e-4,0.003356081285100121,0.0011787700491658383
U20404,DHSGRG,153,Housing,2013M04,Fisher Price Index,Level,0,87.846,U20404,2013-04-01,0.15670515680647698,99.465,0.0019846701341364016,3.098573030367653e-4,0.00372463094816311,9.258047960713548e-4
U20404,DHSGRG,153,Housing,2013M05,Fisher Price Index,Level,0,88.028,U20404,2013-05-01,0.15657418235649503,99.532,0.0020718074812740724,3.2466291622588566e-4,0.003902919325531551,6.736037802241297e-4
U20404,DHSGRG,153,Housing,2013M06,Fisher Price Index,Level,0,88.207,U20404,2013-06-01,0.15665253019261552,99.58,0.0020334439042121576,3.183848166698176e-4,0.0038273152523153886,4.822569625849156e-4
U20404,DHSGRG,153,Housing,2013M07,Fisher Price Index,Level,0,88.336,U20404,2013-07-01,0.15659495891422767,99.644,0.0014624689650481809,2.2909946370297331e-4,0.002752660324461864,6.426993372163804e-4
U20404,DHSGRG,153,Housing,2013M08,Fisher Price Index,Level,0,88.573,U20404,2013-08-01,0.1566100739773659,99.685,0.0026829378735735688,4.2013454608167837e-4,0.005053280743872346,4.114648147404441e-4
U20404,DHSGRG,153,Housing,2013M09,Fisher Price Index,Level,0,88.736,U20404,2013-09-01,0.15639123744346134,99.705,0.001840289930340069,2.8820794213035974e-4,0.0034639827876878915,2.006319907708885e-4
U20404,DHSGRG,153,Housing,2013M10,Fisher Price Index,Level,0,88.922,U20404,2013-10-01,0.15600474898289196,99.702,0.002096105301117842,3.278125018536185e-4,0.0039408502063178474,-3.008876184745112e-5
U20404,DHSGRG,153,Housing,2013M11,Fisher Price Index,Level,0,89.137,U20404,2013-11-01,0.15547598785035735,99.68,0.0024178493511167473,3.7719598109941637e-4,0.004535753859130409,-2.2065755952730497e-4
U20404,DHSGRG,153,Housing,2013M12,Fisher Price Index,Level,0,89.388,U20404,2013-12-01,0.15542283179196575,99.629,0.0028158901466282774,4.37803302225119e-4,0.005266308440369238,-5.116372391653484e-4
U20404,DHSGRG,153,Housing,2014M01,Fisher Price Index,Level,0,89.584,U20404,2014-01-01,0.15584726497517273,99.559,0.0021926880565623793,3.4079378698734697e-4,0.004097199424858422,-7.02606670748551e-4
U20404,DHSGRG,153,Housing,2014M02,Fisher Price Index,Level,0,89.776,U20404,2014-02-01,0.1553066287733775,99.498,0.0021432398642613976,3.3401807103089926e-4,0.004015588549738824,-6.127020158900033e-4
U20404,DHSGRG,153,Housing,2014M03,Fisher Price Index,Level,0,90.012,U20404,2014-03-01,0.15449704260634525,99.444,0.0026287649260381863,4.0826461850068777e-4,0.00491019128658432,-5.427244768739276e-4
U20404,DHSGRG,153,Housing,2014M04,Fisher Price Index,Level,0,90.229,U20404,2014-04-01,0.15426653194250617,99.395,0.0024107896724880986,3.7245987474533086e-4,0.004478685813525063,-4.927396323559651e-4
U20404,DHSGRG,153,Housing,2014M05,Fisher Price Index,Level,0,90.433,U20404,2014-05-01,0.15396849003397217,99.357,0.0022609138968625133,3.48783345889597e-4,0.004193438380754921,-3.823129936113155e-4
U20404,DHSGRG,153,Housing,2014M06,Fisher Price Index,Level,0,90.63,U20404,2014-06-01,0.1535400175438079,99.322,0.0021784083243947287,3.354062403844918e-4,0.00403230801683141,-3.522650643638253e-4
U20404,DHSGRG,153,Housing,2014M07,Fisher Price Index,Level,0,90.856,U20404,2014-07-01,0.15329039721856366,99.268,0.002493655522453924,3.828759126657889e-4,0.004604198512296431,-5.436861923843866e-4
U20404,DHSGRG,153,Housing,2014M08,Fisher Price Index,Level,0,91.05,U20404,2014-08-01,0.1525392782723076,99.228,0.0021352469842388245,3.273128583737095e-4,0.003934832845419622,-4.029495910062281e-4
U20404,DHSGRG,153,Housing,2014M09,Fisher Price Index,Level,0,91.263,U20404,2014-09-01,0.15275497662732665,99.201,0.0023393739703460523,3.5684641704560955e-4,0.004290571407623123,-2.7210061676140833e-4
U20404,DHSGRG,153,Housing,2014M10,Fisher Price Index,Level,0,91.472,U20404,2014-10-01,0.15213600148267356,99.176,0.0022900847002617596,3.4982183486308345e-4,0.004205948214741406,-2.520135885726099e-4
U20404,DHSGRG,153,Housing,2014M11,Fisher Price Index,Level,0,91.713,U20404,2014-11-01,0.15226440364227142,99.156,0.002634686024138531,4.0083059687471884e-4,0.004820585244224462,-2.0166169234488203e-4
U20404,DHSGRG,153,Housing,2014M12,Fisher Price Index,Level,0,91.89,U20404,2014-12-01,0.15239140675235707,99.149,0.001929933597200034,2.9386018824684683e-4,0.003532027196840204,-7.05958287950805e-5
U20404,DHSGRG,153,Housing,2015M01,Fisher Price Index,Level,0,92.136,U20404,2015-01-01,0.15317298965148943,99.149,0.002677113940581076,4.0796915944149624e-4,0.0049066298285525,0
U20404,DHSGRG,153,Housing,2015M02,Fisher Price Index,Level,0,92.402,U20404,2015-02-01,0.1529817742839738,99.149,0.0028870365546583895,4.4221602031016116e-4,0.005319517918296324,0
U20404,DHSGRG,153,Housing,2015M03,Fisher Price Index,Level,0,92.655,U20404,2015-03-01,0.15265251951266687,99.15,0.0027380359732473336,4.1886960124072414e-4,0.005038031213273841,1.008583041689553e-5
U20404,DHSGRG,153,Housing,2015M04,Fisher Price Index,Level,0,92.91,U20404,2015-04-01,0.1526891336047324,99.171,0.0027521450542333974,4.201218765930533e-4,0.005053128005920726,2.1180030257186884e-4
U20404,DHSGRG,153,Housing,2015M05,Fisher Price Index,Level,0,93.131,U20404,2015-05-01,0.15226714293604626,99.198,0.002378646001506874,3.631933971224456e-4,0.004367037337272839,2.7225701061789044e-4
U20404,DHSGRG,153,Housing,2015M06,Fisher Price Index,Level,0,93.438,U20404,2015-06-01,0.15240990080057304,99.227,0.00329643190774288,5.019382684752288e-4,0.006039915247877392,2.9234460372195583e-4
U20404,DHSGRG,153,Housing,2015M07,Fisher Price Index,Level,0,93.707,U20404,2015-07-01,0.15220942208520338,99.269,0.0028789143603243994,4.3877505207038693e-4,0.005278025781659146,4.2327189172303495e-4
U20404,DHSGRG,153,Housing,2015M08,Fisher Price Index,Level,0,93.932,U20404,2015-08-01,0.15226163460398998,99.317,0.002401101305132045,3.654702420221762e-4,0.004394469173325755,4.8353463820515575e-4
U20404,DHSGRG,153,Housing,2015M09,Fisher Price Index,Level,0,94.202,U20404,2015-09-01,0.15290832072475566,99.375,0.0028744197930417326,4.3766385622659676e-4,0.005264627013423118,5.839886424278516e-4
U20404,DHSGRG,153,Housing,2015M10,Fisher Price Index,Level,0,94.425,U20404,2015-10-01,0.15325800294298247,99.434,0.0023672533491857816,3.619727343540515e-4,0.004352330855924569,5.937106918238742e-4
U20404,DHSGRG,153,Housing,2015M11,Fisher Price Index,Level,0,94.631,U20404,2015-11-01,0.15334456558653026,99.501,0.002181625628805963,3.343515870400303e-4,0.00401960547864566,6.738137860289969e-4
U20404,DHSGRG,153,Housing,2015M12,Fisher Price Index,Level,0,94.86,U20404,2015-12-01,0.15347352288363683,99.574,0.0024199258171212308,3.710824731780844e-4,0.00446208927460745,7.336609682314076e-4
U20404,DHSGRG,153,Housing,2016M01,Fisher Price Index,Level,0,95.128,U20404,2016-01-01,0.15371416110599498,99.656,0.002825216107948563,4.335958689944632e-4,0.005215576734402649,8.235081446964855e-4
U20404,DHSGRG,153,Housing,2016M02,Fisher Price Index,Level,0,95.379,U20404,2016-02-01,0.1532832796474895,99.724,0.002638550163989622,4.055825249937503e-4,0.0048778618052911504,6.823472746246873e-4
U20404,DHSGRG,153,Housing,2016M03,Fisher Price Index,Level,0,95.611,U20404,2016-03-01,0.15395108027932386,99.776,0.002432401262332372,3.7284644290899943e-4,0.004483343682329055,5.214391721149622e-4
U20404,DHSGRG,153,Housing,2016M04,Fisher Price Index,Level,0,95.891,U20404,2016-04-01,0.15355470935823176,99.817,0.0029285333277551864,4.5085086944191417e-4,0.005423646204630428,4.109204618344774e-4
U20404,DHSGRG,153,Housing,2016M05,Fisher Price Index,Level,0,96.213,U20404,2016-05-01,0.15361253362428606,99.846,0.003357979372412307,5.156335465617092e-4,0.006205180699778268,2.905316729616255e-4
U20404,DHSGRG,153,Housing,2016M06,Fisher Price Index,Level,0,96.507,U20404,2016-06-01,0.15316581619929254,99.869,0.0030557201209816883,4.6939690983070705e-4,0.00564732770355314,2.303547463092776e-4
U20404,DHSGRG,153,Housing,2016M07,Fisher Price Index,Level,0,96.782,U20404,2016-07-01,0.15336396205462655,99.913,0.0028495342306774788,4.3645123622953916e-4,0.005250005462396068,4.405771560744268e-4
