item_name,current,previous,change_percent,weight,lowest,category,April_2022,change_percent_2022
Apples,330.624,378.835,-0.12726120870563695,0.075,1,Food,358.214,-0.07702099862093603
Laundry equipment,104.844,118.606,-0.1160312294487631,NA,NA,Goods,118.362,-0.11420895219749583
"Telephone hardware, calculators, and other consumer information items",8.158,9.115,-0.10499177180471753,0.297,1,Goods,10.56,-0.22746212121212128
Car and truck rental,162.445,180.759,-0.10131722348541428,0.141,1,Services,204.652,-0.20623790629947425
Other video equipment,8.406,9.246,-0.09085009733938998,0.024,1,Goods,9.39,-0.10479233226837059
Eggs,292.19,321.166,-0.09022125629736644,0.143,1,Food,NA,NA
"Men's suits, sport coats, and outerwear",96.526,105.367,-0.08390672601478644,0.076,1,Goods,105.058,-0.08121228273905856
Other furniture,76.43,83.391,-0.08347423582880642,0.171,1,Goods,86.408,-0.11547541894269042
Televisions,1.079,1.175,-0.08170212765957452,0.122,1,Goods,1.335,-0.19176029962546814
Toys,27.679,29.898,-0.07421901130510411,0.286,1,Goods,29.472,-0.06083740499457124
"Toys, games, hobbies and playground equipment",37.157,39.882,-0.06832656336191767,NA,NA,Goods,39.179,-0.05160928048189095
Nonelectric cookware and tableware,77.28,82.946,-0.06830950256793578,0.072,1,Goods,85.434,-0.09544209565278461
Other linens,41.178,44.177,-0.06788600402924605,0.172,1,Goods,43.914,-0.06230359338707481
Information technology commodities,38.9,41.655,-0.06613851878525989,0.651,NA,Goods,45.952,-0.15346448467966578
Other recreational goods,32.767,34.979,-0.0632379427656593,0.37,NA,Goods,34.294,-0.04452673937131846
Used cars and trucks,180.522,192.647,-0.06293895051571008,3.726,1,Goods,206.194,-0.12450410778199172
Audio equipment,24.836,26.5,-0.06279245283018875,0.073,1,Goods,25.263,-0.016902188972014565
Outdoor equipment and supplies,105.079,111.948,-0.061358845178118404,0.466,1,Goods,NA,NA
Education and communication commodities,56.4,60.009,-0.060140978853172045,0.737,NA,Goods,65.433,-0.13804960799596544
Major appliances,89.597,95.15,-0.058360483447188805,0.077,1,Goods,106.298,-0.1571149033848238
Airline fares,268.075,284.598,-0.058057329988264184,0.633,1,Services,287.256,-0.06677319185674102
Appliances,83.865,88.83,-0.055893279297534626,0.241,NA,Goods,89.268,-0.060525608280682985
Women's outerwear,100.175,105.939,-0.054408669139787924,0.06,1,Goods,100.537,-0.0036006644320002446
Other appliances,73.461,77.635,-0.053764410381915484,0.161,1,Goods,73.575,-0.001549439347604542
Video and audio products,32.377,34.126,-0.051251245384750455,0.276,NA,Goods,35.664,-0.09216576940331989
Public transportation,268.583,281.548,-0.04604898631849619,0.918,NA,Services,280.813,-0.043552114752521964
"Tools, hardware, outdoor equipment and supplies",110.476,115.183,-0.04086540548518447,0.947,NA,Goods,NA,NA
Furniture and bedding,132.445,137.709,-0.03822553355263647,0.959,NA,Goods,137.665,-0.037918134602113795
"Ham, excluding canned",274.044,284.769,-0.03766210507463952,NA,NA,Food,NA,NA
Other motor fuels,297.106,307.755,-0.034602199801790356,0.098,1,Energy,375.202,-0.20814387983006488
Ham,246.489,255.051,-0.033569756636907866,0.067,1,Food,NA,NA
Cheese and related products,262.278,271.312,-0.03329745827681785,0.261,1,Food,NA,NA
Durables,123.292,127.324,-0.03166724262511389,12.425,NA,Meta,127.505,-0.03304184149641187
Frozen fish and seafood,364.01,375.03,-0.0293843159213929,NA,NA,Food,NA,NA
Miscellaneous personal goods,86.019,88.545,-0.028527867186176503,0.187,1,Goods,NA,NA
Household furnishings and supplies,105.612,108.634,-0.02781817847082868,3.953,NA,Goods,NA,NA
Citrus fruits,282.666,290.661,-0.027506270191047344,0.163,1,Food,308.689,-0.08430167579667569
Fresh fish and seafood,220.703,226.747,-0.026655258944991655,0.146,1,Food,224.402,-0.016483810304720903
Transportation commodities less motor fuel,130.289,133.648,-0.025133185681791015,8.303,NA,Goods,133.966,-0.027447262738306888
Frozen and freeze dried prepared foods,209.247,214.551,-0.02472139491309744,0.282,1,Food,NA,NA
New and used motor vehicles,125.081,128.112,-0.023658985887348494,8.877,NA,Meta,127.101,-0.015892872597383145
"Propane, kerosene, and firewood",434.164,444.588,-0.02344642680414233,0.073,1,Energy,460.97,-0.05815128967177918
Other household equipment and furnishings,53.83,55.12,-0.023403483309143658,0.556,NA,Goods,55.387,-0.028111289652806626
Recreation commodities,84.453,86.319,-0.02161748861780144,1.882,NA,Goods,NA,NA
Potatoes,424.985,434.179,-0.021175598082818325,0.085,1,Food,NA,NA
Fish and seafood,350.465,357.939,-0.02088065284866991,0.286,NA,Food,351.212,-0.0021269204924661
Coffee,232.507,237.183,-0.019714735035816222,0.187,1,Food,NA,NA
Prepared salads,155.089,158.162,-0.019429445758146757,NA,NA,Food,NA,NA
Utility (piped) gas service,227.358,231.801,-0.01916730298833902,0.971,1,Energy,236.349,-0.038041201782110345
Boys' and girls' footwear,166.945,170.107,-0.018588300305102168,0.115,1,Goods,NA,NA
Roasted coffee,244.888,249.519,-0.018559708879884895,NA,NA,Food,NA,NA
Jewelry,195.392,198.934,-0.01780490011762692,0.128,1,Goods,NA,NA
Household furnishings and operations,146.851,149.323,-0.01655471695586086,4.777,NA,Meta,NA,NA
Other intercity transportation,158.191,160.828,-0.016396398637053222,0.092,1,Services,160.408,-0.013821006433594185
"Computers, peripherals, and smart home assistants",36.865,37.449,-0.015594541910331272,0.334,1,Goods,39.446,-0.06543122243066457
Motor vehicle parts and equipment,179.504,182.321,-0.015450770893095211,NA,NA,Goods,NA,NA
Processed fish and seafood,173.256,175.895,-0.015003268995707697,0.14,1,Food,NA,NA
Window and floor coverings and other linens,61.166,62.05,-0.014246575342465762,0.297,NA,Goods,NA,NA
Fresh whole milk,248.529,252.087,-0.014114174868200213,NA,NA,Food,252.289,-0.014903543158837684
Miscellaneous household products,139.604,141.538,-0.013664174991875,0.389,1,Goods,NA,NA
Dairy and related products,267.402,271.028,-0.013378691500509299,0.805,NA,Food,NA,NA
Sports vehicles including bicycles,175.089,177.422,-0.013149440317435257,0.313,1,Goods,176.212,-0.0063730052436836715
Tires,151.653,153.661,-0.01306772700945591,0.271,1,Goods,NA,NA
New cars,172.835,175.098,-0.012924191024454856,NA,NA,Goods,NA,NA
Snacks,309.587,313.631,-0.012894133551849096,0.376,1,Food,NA,NA
Margarine,467.94,473.816,-0.012401438533101383,NA,NA,Food,NA,NA
Milk,173.617,175.765,-0.012220863084231759,0.202,1,Food,NA,NA
Commodities less food and energy commodities,165.421,167.455,-0.012146546833477823,21.026,NA,Goods,NA,NA
Fresh milk other than whole,180.276,182.314,-0.011178516186359677,NA,NA,Food,NA,NA
Other dairy and related products,188.444,190.526,-0.0109276424215069,0.221,1,Food,NA,NA
Sporting goods,126.442,127.802,-0.010641461009999964,0.548,NA,Goods,127.853,-0.011036111784627711
Lunchmeats,187.408,189.349,-0.010250912336479234,NA,NA,Food,NA,NA
Information and information processing,70.556,71.256,-0.009823734141686358,3.333,NA,Meta,71.284,-0.010212670444980754
Jewelry and watches,196.718,198.667,-0.009810386224184287,0.157,NA,Goods,NA,NA
"Sewing machines, fabric and supplies",106.657,107.682,-0.009518768224958674,0.027,1,Goods,NA,NA
Communication,74.976,75.652,-0.008935652725638454,3.417,NA,Meta,75.564,-0.00778148324599004
"Tools, hardware and supplies",122.086,123.078,-0.008059929475617178,0.252,1,Goods,NA,NA
Educational books and supplies,698.591,704.119,-0.007850945649812036,0.086,1,Goods,701.848,-0.004640605943167064
Sports equipment,85.948,86.614,-0.0076892881058490126,0.224,1,Goods,87.491,-0.017636099713113418
Fuel oil,379.975,382.899,-0.0076364785491734866,0.18,1,Energy,479.677,-0.20785236732217716
Commodities less food and beverages,176.74,178.023,-0.007206933935502646,24.603,NA,Meta,179.683,-0.0163788449658564
"Purchase of pets, pet supplies, accessories",129.542,130.458,-0.007021416854466556,NA,NA,Goods,NA,NA
"Rice, pasta, cornmeal",294.232,296.163,-0.006520058211187729,0.147,1,Food,NA,NA
Commodities less food,180.471,181.623,-0.006342809005467243,25.474,NA,Meta,182.968,-0.013647195137947543
"Commodities less food, energy, and used cars and trucks",163.792,164.722,-0.0056458760821263,17.3,NA,Meta,NA,NA
Fuel oil and other fuels,380.435,382.466,-0.0053102759460972315,0.254,NA,Energy,450.664,-0.1558345019793016
Housekeeping supplies,233.471,234.581,-0.004731841027193151,0.954,NA,Goods,NA,NA
Pets and pet products,240.037,241.168,-0.004689676905725415,0.572,1,Goods,NA,NA
"Fresh biscuits, rolls, muffins",232.083,233.141,-0.0045380263445725655,0.113,1,Food,NA,NA
Other lodging away from home including hotels and motels,390.38,392.096,-0.004376479229576402,0.8,1,Services,NA,NA
New vehicles,178.2,178.842,-0.0035897607944443966,4.06,1,Goods,NA,NA
"Information technology, hardware and services",7.106,7.13,-0.003366058906030811,1.565,NA,Meta,7.297,-0.026175140468685743
Cookies,349.456,350.42,-0.002750984532846279,NA,NA,Food,NA,NA
New trucks,190.197,190.623,-0.0022347775452069563,NA,NA,Goods,NA,NA
Other meats,286.612,287.128,-0.0017971079100609355,0.25,1,Food,NA,NA
Lodging away from home,189.58,189.834,-0.0013380111044385412,0.925,NA,Services,NA,NA
Music instruments and accessories,119.219,119.361,-0.0011896683171220834,0.041,1,Goods,NA,NA
Pet food,190.83,191.055,-0.0011776713511815196,NA,NA,Goods,NA,NA
Beverage materials including coffee and tea,141.242,141.393,-0.0010679453721189613,0.287,NA,Food,NA,NA
