item_name,weight
All items,100
Food,13.37
Food at home,8.165
Cereals and bakery products,1.03
Cereals and cereal products,0.332
Flour and prepared flour mixes,0.051
Breakfast cereal,0.143
"Rice, pasta, cornmeal",0.138
Rice,
Bakery products,0.699
Bread,0.199
White bread,
Bread other than white,
"Fresh biscuits, rolls, muffins",0.106
"Cakes, cupcakes, and cookies",0.171
Cookies,
Fresh cakes and cupcakes,
Other bakery products,0.223
"Fresh sweetrolls, coffeecakes, doughnuts",
"Crackers, bread, and cracker products",
"Frozen and refrigerated bakery products, pies, tarts, turnovers",
"Meats, poultry, fish, and eggs",1.888
"Meats, poultry, and fish",1.779
Meats,1.147
Beef and veal,0.546
Uncooked ground beef,0.194
Uncooked beef roasts,0.082
Uncooked beef steaks,0.216
Uncooked other beef and veal,0.055
Pork,0.365
"Bacon, breakfast sausage, and related products",0.163
Bacon and related products,
Breakfast sausage and related products,
Ham,0.062
"Ham, excluding canned",
Pork chops,0.053
"Other pork including roasts, steaks, and ribs",0.086
Other meats,0.236
Frankfurters,
Lunchmeats,
Poultry,0.344
Chicken,0.281
Fresh whole chicken,
Fresh and frozen chicken parts,
Other uncooked poultry including turkey,0.062
Fish and seafood,0.289
Fresh fish and seafood,0.147
Processed fish and seafood,0.142
Shelf stable fish and seafood,
Frozen fish and seafood,
Eggs,0.109
Dairy and related products,0.752
Milk,0.194
Fresh whole milk,
Fresh milk other than whole,
Cheese and related products,0.249
Ice cream and related products,0.113
Other dairy and related products,0.195
Fruits and vegetables,1.408
Fresh fruits and vegetables,1.085
Fresh fruits,0.581
Apples,0.076
Bananas,0.081
Citrus fruits,0.159
"Oranges, including tangerines",
Other fresh fruits,0.266
Fresh vegetables,0.504
Potatoes,0.075
Lettuce,0.062
Tomatoes,0.084
Other fresh vegetables,0.283
Processed fruits and vegetables,0.323
Canned fruits and vegetables,0.162
Canned fruits,
Canned vegetables,
Frozen fruits and vegetables,0.098
Frozen vegetables,
Other processed fruits and vegetables including dried,0.063
"Dried beans, peas, and lentils",
Nonalcoholic beverages and beverage materials,0.933
Juices and nonalcoholic drinks,0.663
Carbonated drinks,0.277
Frozen noncarbonated juices and drinks,0.007
Nonfrozen noncarbonated juices and drinks,0.378
Beverage materials including coffee and tea,0.27
Coffee,0.174
