item_name,weight,year_weight
All items,100,2023
Food and beverages,14.376,2023
Food,13.531,2023
Food at home,8.728,2023
Cereals and bakery products,1.164,2023
Cereals and cereal products,0.365,2023
Flour and prepared flour mixes,0.06,2023
Breakfast cereal,0.146,2023
"Rice, pasta, cornmeal",0.159,2023
Bakery products,0.799,2023
Bread,0.226,2023
"Fresh biscuits, rolls, muffins",0.118,2023
"Cakes, cupcakes, and cookies",0.207,2023
Other bakery products,0.249,2023
"Meats, poultry, fish, and eggs",1.847,2023
"Meats, poultry, and fish",1.681,2023
Meats,1.038,2023
Beef and veal,0.437,2023
Uncooked ground beef,0.158,2023
Uncooked beef roasts,0.057,2023
Uncooked beef steaks,0.179,2023
Uncooked other beef and veal,0.044,2023
Pork,0.338,2023
"Bacon, breakfast sausage, and related products",0.146,2023
Ham,0.065,2023
Pork chops,0.046,2023
"Other pork including roasts, steaks, and ribs",0.081,2023
Other meats,0.262,2023
Poultry,0.352,2023
Chicken,0.283,2023
Other uncooked poultry including turkey,0.069,2023
Fish and seafood,0.291,2023
Fresh fish and seafood,0.141,2023
Processed fish and seafood,0.15,2023
Eggs,0.167,2023
Dairy and related products,0.818,2023
Milk,0.204,2023
Cheese and related products,0.253,2023
Ice cream and related products,0.123,2023
Other dairy and related products,0.238,2023
Fruits and vegetables,1.512,2023
Fresh fruits and vegetables,1.133,2023
Fresh fruits,0.589,2023
Apples,0.083,2023
Bananas,0.091,2023
Citrus fruits,0.169,2023
Other fresh fruits,0.247,2023
Fresh vegetables,0.543,2023
Potatoes,0.086,2023
Lettuce,0.085,2023
Tomatoes,0.092,2023
Other fresh vegetables,0.28,2023
Processed fruits and vegetables,0.38,2023
Canned fruits and vegetables,0.196,2023
Frozen fruits and vegetables,0.108,2023
Other processed fruits and vegetables including dried,0.076,2023
Nonalcoholic beverages and beverage materials,1.039,2023
Juices and nonalcoholic drinks,0.728,2023
Carbonated drinks,0.307,2023
Frozen noncarbonated juices and drinks,0.008,2023
Nonfrozen noncarbonated juices and drinks,0.413,2023
Beverage materials including coffee and tea,0.311,2023
Coffee,0.2,2023
Other beverage materials including tea,0.111,2023
Other food at home,2.347,2023
Sugar and sweets,0.302,2023
Sugar and sugar substitutes,0.04,2023
Candy and chewing gum,0.192,2023
Other sweets,0.07,2023
Fats and oils,0.26,2023
Butter and margarine,0.086,2023
Salad dressing,0.061,2023
Other fats and oils including peanut butter,0.114,2023
Other foods,1.785,2023
Soups,0.104,2023
Frozen and freeze dried prepared foods,0.275,2023
Snacks,0.376,2023
"Spices, seasonings, condiments, sauces",0.353,2023
Baby food,0.038,2023
Other miscellaneous foods,0.639,2023
Food away from home,4.803,2023
Full service meals and snacks,2.307,2023
Limited service meals and snacks,2.229,2023
Food at employee sites and schools,0.076,2023
Food from vending machines and mobile vendors,0.025,2023
Other food away from home,0.166,2023
Alcoholic beverages,0.845,2023
Alcoholic beverages at home,0.513,2023
"Beer, ale, and other malt beverages at home",0.197,2023
Distilled spirits at home,0.087,2023
Wine at home,0.229,2023
Alcoholic beverages away from home,0.332,2023
Housing,44.384,2023
Shelter,34.413,2023
Rent of primary residence,7.528,2023
Lodging away from home,1.085,2023
"Housing at school, excluding board",0.163,2023
Other lodging away from home including hotels and motels,0.923,2023
Owners' equivalent rent of residences,25.424,2023
Owners' equivalent rent of primary residence,24.038,2023
Unsampled owners' equivalent rent of secondary residences,1.386,2023
Tenants' and household insurance,0.376,2023
Fuels and utilities,4.702,2023
Household energy,3.646,2023
Fuel oil and other fuels,0.215,2023
Fuel oil,0.15,2023
"Propane, kerosene, and firewood",0.065,2023
Energy services,3.431,2023
Electricity,2.541,2023
Utility (piped) gas service,0.89,2023
Water and sewer and trash collection services,1.056,2023
Water and sewerage maintenance,0.757,2023
Garbage and trash collection,0.3,2023
Household furnishings and operations,5.269,2023
Window and floor coverings and other linens,0.316,2023
Floor coverings,0.086,2023
Window coverings,0.074,2023
Other linens,0.156,2023
Furniture and bedding,1.188,2023
Bedroom furniture,0.384,2023
"Living room, kitchen, and dining room furniture",0.586,2023
Other furniture,0.211,2023
Unsampled furniture,0.007,2023
Appliances,0.285,2023
Major appliances,0.109,2023
Other appliances,0.174,2023
Unsampled appliances,0.002,2023
Other household equipment and furnishings,0.575,2023
"Clocks, lamps, and decorator items",0.317,2023
Indoor plants and flowers,0.131,2023
Dishes and flatware,0.042,2023
Nonelectric cookware and tableware,0.085,2023
"Tools, hardware, outdoor equipment and supplies",1.067,2023
"Tools, hardware and supplies",0.273,2023
Outdoor equipment and supplies,0.555,2023
"Unsampled tools, hardware, outdoor equipment and supplies",0.239,2023
Housekeeping supplies,0.966,2023
Household cleaning products,0.325,2023
Household paper products,0.18,2023
Miscellaneous household products,0.462,2023
Household operations,0.872,2023
Domestic services,0.263,2023
Gardening and lawncare services,0.316,2023
"Moving, storage, freight expense",0.106,2023
Repair of household items,0.112,2023
Unsampled household operations,0.075,2023
Apparel,2.479,2023
Men's and boys' apparel,0.645,2023
Men's apparel,0.476,2023
"Men's suits, sport coats, and outerwear",0.067,2023
"Men's underwear, nightwear, swimwear, and accessories",0.172,2023
Men's shirts and sweaters,0.117,2023
Men's pants and shorts,0.111,2023
Unsampled men's apparel,0.01,2023
Boys' apparel,0.169,2023
Women's and girls' apparel,1.008,2023
Women's apparel,0.84,2023
Women's outerwear,0.046,2023
Women's dresses,0.09,2023
Women's suits and separates,0.381,2023
"Women's underwear, nightwear, swimwear, and accessories",0.311,2023
Unsampled women's apparel,0.011,2023
Girls' apparel,0.167,2023
Footwear,0.506,2023
